,fidelity,radius,thickness,npanels,theta,length,height,z_offset,volume,nC_Ge77,prod_rate_Ge77[nuc/(kg*yr)],total_nC_Ge77[cts],nC_Ge77_scaling,time_0[ms],x_0[m],y_0[m],z_0[m],r_0[m],L_0[m],px_0[m],py_0[m],pz_0[m],ekin_0[eV],edep_0[eV],vol_0,time_t[ms],x_t[m],y_t[m],z_t[m],r_t[m],L_t[m],px_t[m],py_t[m],pz_t[m],ekin_t[eV],edep_t[eV],ln(E0vsET),vol_t,nsteps,nC_A,nC_Z,nsec,nsec_with_nC,nprimaries,weights
4507,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,1.48246366,0.76677262,-0.57402292,1.669023293427105,1.7649762226975143,-0.86823792,-0.48889272,0.0845389,24840486.38341869,0.0,7.0,0.0168424,0.47065909,0.27206266,-0.51477502,0.5436341324511401,0.7486864438347365,-0.0,-0.0,-0.0,0.0,0.0,33.1460810464491,16.0,7,0,0,7,0,1.0,4e-05
4508,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-2.0388546,1.26202645,-0.16535237,2.3978404534999327,2.4035349480932,-0.74642145,0.62759811,-0.2213044,3036767.56571258,0.0,7.0,0.00132992,-2.06272321,1.2820954,-0.17242911,2.428702463410013,2.4348156919465707,-0.0,0.0,-0.0,0.0,0.0,31.044399857883,7.0,2,0,0,2,0,1.0,4e-05
4509,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.4769288,-0.9704487,-0.93338915,1.0813102050758283,1.428442181167601,-0.0548112498,-0.762102258,-0.645132448,1100013.86,0.0,7.0,409.495298,0.91655499,-1.6066885,-1.32263105,1.8497353826226468,2.273955558086009,-0.0,0.0,0.0,0.0,0.0,30.02892898864754,7.0,72,41,18,1,0,1.0,4e-05
4510,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,1.0847193,1.84455535,1.4658024,2.1398599017239683,2.5937573276719377,-0.273976846,0.682720785,-0.677369189,1481269.18,0.0,7.0,26.98488208,-0.29188701,3.25955159,0.42066131,3.2725944744924123,3.29951974266092,0.0,0.0,0.0,0.0,0.0,30.326505483263272,3.0,51,158,64,1,0,1.0,4e-05
4511,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.40951199,1.49687629,1.49261415,1.5518823078822457,2.1531919789693967,0.722716657,0.593863223,0.35356344,291312.142,0.0,7.0,816.754912,-1.29141458,2.13741988,0.41601671,2.497261572373985,2.53167637423408,-0.0,-0.0,0.0,0.0,0.0,28.70024627515183,7.0,101,41,18,1,0,1.0,4e-05
4512,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.0981078,-1.50223501,0.29525105,1.5054352080679327,1.5341148419256765,-0.74187115,0.64209593,-0.19323565,4172150.16274588,0.0,7.0,0.01119301,-0.15082322,-1.38775053,0.31729726,1.395922339246152,1.4315295066501272,-0.0,-0.0,-0.0,0.0,0.0,31.362037738401373,7.0,4,0,0,3,0,1.0,4e-05
4513,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,2.38199567,-1.24987865,1.21745004,2.690000002160701,2.952674145841456,-0.348866048,0.84402895,0.407317581,29717.52326346,0.0,6.0,24.1944932,0.08061857,-1.613379,2.36665916,1.6153919497972755,2.865408649927921,-0.0,-0.0,0.0,0.0,0.0,26.417587810633016,3.0,73,158,64,1,0,1.0,4e-05
4514,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.57779887,-2.05516645,-3.0704242,2.5909763432688613,4.017544421574517,0.14213455,0.700276621,-0.699578747,1162937.67,0.0,7.0,15.4924737,-2.18278352,-2.41027269,-3.60589073,3.251762342998551,4.855554169406759,-0.0,-0.0,0.0,0.0,0.0,30.08455548686985,3.0,26,2,1,1,0,1.0,4e-05
4515,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-2.40889559,0.66966211,-2.1201414,2.500245049008417,3.278143508311535,0.67589147,-0.49914944,0.54223662,5930266.01319127,0.0,7.0,0.00459539,-2.30477268,0.59276679,-2.03660838,2.379779311995397,3.1322712633626595,0.0,-0.0,0.0,0.0,0.0,31.713675279811643,7.0,2,0,0,2,0,1.0,4e-05
4516,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-2.54050892,-0.04018895,-1.51514417,2.5408267796726465,2.9582871023933186,-0.266908869,0.544421694,0.795213603,341724.163,0.0,7.0,305.646135,-2.43376076,1.14237723,-1.57388926,2.688534391176399,3.1153402021740093,-0.0,0.0,-0.0,0.0,0.0,28.859854800638256,7.0,39,41,18,1,0,1.0,4e-05
4517,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,2.14266601,-1.33757598,-1.38558486,2.525891354093101,2.880967291890608,-0.593154954,-0.784023916,0.18295819,110571.628,0.0,7.0,488.099537,2.08984697,-1.26185105,-0.99751182,2.4412555028927807,2.637187566602724,-0.0,-0.0,0.0,0.0,0.0,27.73151445809081,7.0,104,41,18,1,0,1.0,4e-05
4518,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,1.36374266,-0.15571893,-2.71348788,1.3726042502718037,3.0408977133029507,-0.02297982,0.99219399,0.12256838,1654678.68520841,0.0,7.0,0.29315048,3.0231695,0.7439347,-4.24613592,3.11335713717433,5.265231515774837,0.0,-0.0,-0.0,0.0,0.0,30.43721305099215,4.0,19,57,26,1,0,1.0,4e-05
